,Country,Influence,Passivity
5,RS,0.013970056249171109,0.008170311330873191
97,PL,0.012444755277236699,0.008225314690294977
108,LT,0.012269802401256946,0.008225314690294977
106,CN,0.012249856952885132,0.00818179714487034
23,CV,0.01215871069828468,0.008207155829150341
82,CI,0.01208435282574387,0.008235033752006817
61,BE,0.012001506788405732,0.008225314690294977
14,NL,0.012001506788405732,0.008225314690294977
120,SI,0.012001506788405732,0.008225314690294977
92,EE,0.012001506788405732,0.008225314690294977
