,Country,Influence,Passivity
45,NO,0.037423001588754966,0.013322691074236753
62,EE,0.028562090545613823,0.013259494929290789
30,NZ,0.02828968049528707,0.013394270714110267
65,GB,0.025058575306604255,0.013313395801327031
22,SE,0.023905656066230626,0.01328505426178605
5,KR,0.023688613475240008,0.01282072852409991
23,US,0.023259715344563232,0.013301138641230836
20,PA,0.022960113995584397,0.013003716159103467
48,FR,0.021869948642294485,0.013343436213060193
11,VG,0.021744064242759396,0.01271893207929581
